ENTREZID	Symbol
1	A1BG
10	NAT2
100	ADA
1000	CDH2
10000	AKT3
10001	MED6
10002	NR2E3
10003	NAALAD2
100037417	DDTL
100038246	TLX1NB
10004	NAALADL1
100048912	CDKN2BAS
100049587	SIGLEC14
10005	ACOT8
10006	ABI1
10007	GNPDA1
10008	KCNE3
10009	ZBTB33
100093630	SNHG8
1001	CDH3
10010	TANK
100101467	ZNF397OS
10011	SRA1
100113407	TMEM170B
100124534	SNORA84
100125288	ZGLP1
100126270	ASFMR1
100127888	LOC100127888
100128081	LOC100128081
100128108	LOC100128108
100128124	HGC6.3
100128264	LOC100128264
100128292	LOC100128292
100128327	BET3L
100128554	LOC100128554
100128569	C19orf71
100128675	LOC100128675
100128731	OST4
100128818	LOC100128818
100128927	ZBTB42
100129128	KHDC1L
100129271	C1orf68
100129434	LOC100129434
100129503	LOC100129503
100129583	FAM47E
100129716	LOC100129716
100129726	LOC100129726
100129792	CCDC152
100129827	LOC100129827
100129842	ZNF737
100129961	LOC100129961
10013	HDAC6
100130015	LOC100130015
100130249	PP2672
100130274	LOC100130274
100130302	FAM48B1
100130311	C17orf107
100130386	LOC100130386
100130522	LOC100130522
100130539	LOC100130539
100130557	LOC100130557
100130613	CXorf64
100130691	LOC100130691
100130742	LRRC69
100130776	LOC100130776
100130872	LOC100130872
100130889	PSORS1C3
100130933	LOC100130933
100130958	SYCE1L
100130988	C7orf72
100131017	ZNF316
100131060	LOC100131060
100131137	BSPH1
100131187	TSTD1
100131211	TMEM194B
100131390	SP9
100131439	CD300LD
100131454	ELP2P
100131561	FKSG29
100131726	LOC100131726
100131755	ARMCX4
100131827	ZNF717
100131897	FAM196B
100131902	KRTAP25-1
100131943	LOC100131943
100132215	LOC100132215
100132386	KRTAP4-9
100132476	KRTAP4-7
100132686	LOC100132686
100132891	LOC100132891
100133286	LOC100133286
100133957	LOC100133957
100133991	LOC100133991
100134259	LOC100134259
100134391	LOC100134391
10014	HDAC5
100141515	C17orf99
100144748	KILLIN
10015	PDCD6IP
100151643	KRTAP20-4
100158262	SCARNA9L
10016	PDCD6
100169851	PATE3
100169989	ELP1P
10017	BCL2L10
100170229	SRRM5
100170765	C19orf69
100170841	C17orf96
10018	BCL2L11
100188893	TOMM6
10019	SH2B3
100190940	LOC100190940
100190949	C5orf52
100191040	C2CD4D
100192204	LOC100192204
100192386	FLJ16779
1002	CDH4
10020	GNE
10021	HCN4
10022	INSL5
10023	FRAT1
10024	TROAP
10025	MED16
10026	PIGK
100268168	LOC100268168
100271715	ARHGEF33
100286925	LOC100286925
100287010	LOC100287010
100287036	LOC100287036
100287042	LOC100287042
100287098	LOC100287098
100287216	LOC100287216
100287225	LOC100287225
100287290	LOC100287290
100287314	LOC100287314
100287467	LOC100287467
100287718	LOC100287718
100287808	LOC100287808
100287837	LOC100287837
100287896	LOC100287896
100287902	LOC100287902
100287932	TIMM23
100288152	LOC100288152
100288287	KRTAP22-2
100288323	KRTAP21-3
100288346	LOC100288346
