ENTREZID	Symbol
497097	Xkr4
19888	Rp1
20671	Sox17
27395	Mrpl15
18777	Lypla1
21399	Tcea1
58175	Rgs20
108664	Atp6v1h
18387	Oprk1
226304	Npbwr1
12421	Rb1cc1
620393	Alkal1
240690	St18
319263	Pcmtd1
71096	Sntg1
59014	Rrs1
76187	Adhfe1
72481	2610203C22Rik
76982	Vxn
17864	Mybl1
70675	Vcpip1
170755	Sgk3
240697	Mcmdc2
73824	Snhg6
266793	Snord87
100039596	Tcf24
69312	Ppp1r42
26754	Cops5
211660	Cspp1
211673	Arfgef1
329093	Cpa6
109294	Prex2
320492	A830018L16Rik
329096	Gm17644
240725	Sulf1
240726	Slco5a1
383491	Prdm14
17978	Ncoa2
72265	Tram1
212442	Lactb2
381246	Xkr9
433273	Gm5523
14048	Eya1
17681	Msc
277328	Trpa1
98741	Kcnb2
21749	Terf1
226866	Sbspon
665434	Gm7634
75799	4930444P10Rik
19989	Rpl7
98711	Rdh10
29819	Stau2
66799	Ube2w
67923	Eloc
329101	D030040B21Rik
70397	Tmem70
17087	Ly96
57339	Jph1
14545	Gdap1
94227	Pi15
83691	Crispld1
78081	Crisp4
654454	Defb44-ps
654460	Defb18
77673	Defb41
226896	Tfap2d
21419	Tfap2b
241035	Pkhd1
75028	4930486I03Rik
387202	Mir206
723817	Mir133b
16171	Il17a
257630	Il17f
17215	Mcm3
77741	6720483E21Rik
74229	Paqr8
71877	Efhc1
170829	Tram2
75712	Tmem14a
14859	Gsta3
241041	Gm4956
368204	Khdc1a
433278	Khdc1c
98582	Khdc1b
226922	Kcnq5
116837	Rims1
66755	Ppp1r14bl
387225	Mir30a
723964	Mir30c-2
70155	Ogfrl1
280645	B3gat2
98366	Smap1
68002	Sdhaf4
68187	Fam135a
12839	Col9a1
12823	Col19a1
68421	Lmbrd1
210933	Adgrb3
100504323	Gm20172
210940	4931408C20Rik
433281	Gm5524
210962	Gm597
623924	Gm6462
213109	Phf3
19243	Ptp4a1
70988	4931428L18Rik
266744	Lgsn
74708	Dnaaf6
170771	Khdrbs2
408192	Gm9839
408191	Gm5415
19076	Prim2
67503	1700001G17Rik
19335	Rab23
213539	Bag2
98403	Zfp451
433287	Gm15455
320705	Bend6
13518	Dst
100628580	Mir5103
69668	Ccdc115
27993	Imp4
19253	Ptpn18
21755	Prss39
12627	Cfc1
21756	Prss40
211383	Amer3
226970	Arhgef4
214469	Fam168b
226971	Plekhb2
50785	Hs6st1
320011	Uggt1
214854	Neurl3
214855	Arid5a
226976	Kansl3
214895	Lman2l
94220	Cnnm4
94218	Cnnm3
78321	Ankrd23
109346	Ankrd39
20353	Sema4c
381337	Fam178b
12859	Cox5b
226977	Actr1b
71166	4933424G06Rik
