Geneid	Length
497097	3634
100503874	3259
100038431	1634
19888	9747
20671	3130
27395	4203
18777	2433
100503730	799
21399	2847
58175	2241
108664	1976
18387	4707
226304	3692
12421	7046
620393	858
240690	6161
319263	5232
71096	4193
59014	2048
76187	3139
72481	1246
76982	3187
17864	3564
70675	5179
73331	1494
170755	5622
620986	451
240697	2553
73824	407
266793	74
100038398	2646
100039596	501
69312	1502
26754	1240
211660	4354
211673	7042
329093	1930
109294	11187
320492	8293
329096	3200
240725	4864
240726	8512
383491	2593
17978	8213
72265	2888
212442	1889
381246	1926
433273	1245
14048	4345
17681	1717
277328	4263
98741	5309
21749	1633
226866	2748
665434	572
75799	717
19989	934
98711	2295
29819	2890
66799	2354
67923	955
329101	2788
70397	1732
17087	603
57339	4809
14545	3938
94227	6923
83691	4006
78081	1192
654454	222
654460	258
77673	469
654464	256
226896	1753
21419	6391
241035	12928
75028	786
387202	73
723817	119
16171	1171
257630	1178
17215	2886
77741	1120
74229	4420
71877	2208
170829	1409
75712	1112
14859	1450
241041	1148
368204	1950
433278	844
98582	2247
226922	6980
116837	4066
66755	1781
387225	71
723964	84
70155	4844
100503399	1522
280645	4362
98366	2259
68002	667
68187	6467
12839	3888
12823	10542
68421	5392
210933	5522
100504323	1551
210940	4331
433281	2004
665903	467
210962	2882
623924	306
791350	1160
213109	7561
19243	4129
70988	1094
266744	1903
74708	1449
226957	914
624262	762
170771	1359
408192	1437
408191	3748
19076	1937
67503	889
19335	4487
213539	1815
98403	3650
433287	3016
320705	2292
13518	23242
100628580	79
69668	1705
27993	2249
52318	3559
19253	1578
21755	1246
12627	1038
21756	1301
211383	4356
241051	2676
226970	2714
214469	5080
226971	5469
50785	3719
320011	9029
214854	2583
214855	5699
226976	4663
214895	2225
94220	4582
94218	5283
78321	1954
109346	1786
20353	3805
381337	2577
12859	569
226977	2077
71166	1127
22637	2180
56030	6548
70853	4422
12790	3498
269180	6817
76178	3862
67387	1412
269181	7054
77633	2755
100861893	736
72097	4361
100503734	2218
211484	3400
623661	1555
69028	1229
107734	691
332427	2564
69541	798
98258	4596
226982	7797
56210	4262
16764	6010
381338	5077
98388	3120
100503760	2386
433292	1001
68833	1706
18143	4180
114641	1254
54610	4440
52846	3170
100217461	94
67702	2434
263764	5799
619289	2000
100042065	359
73426	531
26921	5974
100047133	858
16178	1343
16177	5035
107527	1950
17082	6967
16182	4781
16174	2487
110895	3822
226999	3493
211798	3152
381339	1096
74897	573
66297	546
18993	3065
73100	2841
69527	1419
93690	3860
73122	5538
98404	3457
14200	1563
666642	647
17974	2775
100861934	1421
78896	888
67883	1263
100503192	585
22019	4649
433294	1086
75623	1265
72050	2324
246229	3571
22592	4010
100861960	766
403183	3181
70676	2976
75066	906
12825	5564
12832	6615
73674	2612
433297	641
53945	3380
100042453	717
212225	3483
227058	12318
100101919	12384
227059	4961
442837	542
56363	3339
442821	2552
20324	3055
109019	2838
100045066	3051
17912	5042
20849	2981
100042634	432
20846	5356
14660	7488
17936	5088
227094	3394
98682	5591
16329	1776
227095	1704
67080	834
17700	2682
69397	627
227099	3032
227102	1846
72085	2283
70396	2362
627872	12272
98267	3278
329152	11336
78016	3807
98488	3005
241062	10579
329154	6140
81898	6192
67876	1733
15510	2332
15528	768
19070	2826
74013	3677
212679	2882
75388	1258
227120	6555
626009	1369
329159	1906
71066	1408
212712	5286
329160	3728
407809	3304
75323	2052
73467	3008
68736	1442
68115	1325
67198	4045
51960	2733
68549	5416
11761	4382
71724	4360
71872	4973
213043	4776
66882	2833
12747	3088
70225	1630
65102	2105
18393	3371
100504455	2126
213056	8695
66495	532
100504501	936
108812	1579
12633	7814
12370	2777
70827	6240
227154	2318
73463	2131
381259	1972
227157	3087
74018	7038
271697	1477
14369	4809
381260	3595
22218	1215
55989	1976
100217459	53
100217421	63
12168	3507
100504533	314
72750	5532
70375	3650
57750	3376
241066	2604
100504573	431
269198	12108
77951	1501
329165	5974
77300	9117
100043027	207
100042533	791
12487	4317
100504618	845
12477	1931
54167	3254
77341	892
72823	8392
18187	8122
74992	895
227195	13529
100380944	1802
100504668	1301
227197	2927
55949	1933
100217464	113
241070	1606
73884	12621
23792	6879
241073	2427
76668	1711
75619	3205
74426	1756
433315	1432
93691	1344
12912	8421
67099	2666
69941	713
227210	2927
14367	6914
241075	8562
70861	1353
667276	1020
12968	642
12967	635
12966	612
12965	605
12964	615
98303	2180
15926	2438
18711	11255
213527	2414
12969	622
17756	5520
100038569	1663
329178	13533
66646	2630
68691	4760
11363	1892
100862127	515
17901	1111
14768	4461
227231	4704
13869	4257
100502712	2069
22779	9424
66722	2270
320460	4655
12021	5448
74591	8323
108147	2611
14268	8312
100042814	1193
667931	1019
71134	1093
433319	483
381269	2493
111175	1186
271711	2815
22596	2556
381270	4187
54380	6715
319695	4573
19981	588
16008	1330
16011	5854
21958	427
69449	571
723792	1560
78718	551
109198	1801
21961	9966
435626	2336
100862357	817
12765	3043
227288	1125
100316687	67
76709	1597
227289	990
227290	1820
56695	3501
69660	2309
241112	2101
18173	2304
227292	2776
387219	85
22349	3117
319651	7196
58184	3266
18802	3121
77264	7472
66821	1829
57751	1475
269209	5235
67534	4253
104086	1890
241113	2832
22420	2068
22409	1962
12570	2704
260298	1479
12958	702
723900	64
241116	5718
16147	2444
75570	860
22626	2059
69171	2738
227298	2557
68818	1299
74104	2934
245860	3764
52231	2764
74577	3451
20872	2885
